Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Country,Age,Child,Spending
PhD,Single,38236.0,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,SP,53,2,88
Master,Married,22701.0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,SP,44,1,24
Master,Divorced,53367.0,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,AUS,47,2,400
Graduation,Together,34728.0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,SP,35,1,36
Master,Married,63915.0,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,AUS,65,2,789
2n Cycle,Married,82504.0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,IND,61,0,1066
PhD,Single,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,SP,49,2,73
PhD,Single,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,SP,49,2,73
PhD,Married,79174.0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,CA,46,0,2043
2n Cycle,Divorced,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,SA,59,1,1588
Master,Married,43263.0,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,SP,44,1,441
Graduation,Single,27242.0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,IND,51,1,106
Graduation,Married,76445.0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,SA,50,1,1410
Graduation,Together,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,SP,56,0,1040
Graduation,Widow,34213.0,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,SA,58,2,117
PhD,Together,72335.0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,SP,45,0,2092
Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,AUS,57,0,1693
Graduation,Married,27469.0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,CA,74,0,17
Graduation,Together,68695.0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,SP,52,0,1091
Graduation,Together,68695.0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,CA,52,0,1091
Graduation,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,GER,64,1,372
PhD,Together,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,SA,51,2,714
Graduation,Divorced,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,SP,59,3,16
2n Cycle,Single,31859.0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,SP,41,1,48
2n Cycle,Single,23830.0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,SP,34,0,43
Graduation,Married,24639.0,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,AUS,48,2,44
PhD,Together,71604.0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,SP,76,0,1196
Graduation,Married,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,SP,37,1,37
Graduation,Together,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,CA,44,1,162
PhD,Married,77037.0,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,SP,61,1,1123
Graduation,Single,24163.0,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,SP,51,2,17
PhD,Together,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,US,52,0,1044
Graduation,Married,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,GER,42,1,758
Master,Married,58646.0,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,SP,59,1,140
Master,Married,58646.0,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,GER,59,1,140
Master,Widow,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,US,72,2,121
Graduation,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,AUS,41,1,1395
PhD,Single,54998.0,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,SP,65,1,455
PhD,Single,60200.0,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,SP,73,1,685
Graduation,Married,63211.0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,SP,39,0,1173
PhD,Single,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,SA,48,1,424
PhD,YOLO,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,CA,48,1,424
PhD,YOLO,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,IND,48,1,424
Master,Married,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,SP,72,2,1178
Master,Married,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,SP,72,2,1178
PhD,Together,65220.0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,GER,56,0,1282
PhD,Married,74214.0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,SP,31,0,1711
2n Cycle,Married,96547.0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,SP,41,0,809
Graduation,Together,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,SP,66,1,473
Graduation,Married,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,IND,51,2,148
Graduation,Married,37716.0,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,AUS,68,1,188
Graduation,Together,45203.0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,SA,39,2,147
Master,Married,37368.0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,SP,46,1,30
Graduation,Married,67225.0,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,US,66,1,868
Master,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,CA,45,1,1053
Master,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,SP,45,1,1053
Master,Married,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,SP,72,0,1008
Graduation,Single,70566.0,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,SP,53,1,757
Graduation,Together,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,GER,63,1,653
Graduation,Married,71434.0,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,SP,59,1,1400
Graduation,Married,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,SP,43,1,78
Graduation,Married,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,CA,43,1,78
Graduation,Together,46610.0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,SP,63,0,467
Graduation,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,CA,63,1,306
Graduation,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,US,45,2,257
Master,Married,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,SP,50,2,751
Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,AUS,75,0,1196
Graduation,Divorced,72071.0,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,SP,67,1,1338
Graduation,Divorced,72071.0,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,CA,67,1,1338
Master,Single,59235.0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,IND,54,1,1128
Graduation,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,AUS,64,1,22
Graduation,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,SP,64,1,22
PhD,Married,45601.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,GER,64,3,603
Graduation,Married,69209.0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,CA,49,0,1782
Graduation,Together,31928.0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,IND,32,1,72
PhD,Single,74004.0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,IND,34,0,1658
2n Cycle,Married,30390.0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,IND,34,0,80
Graduation,Married,21355.0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,US,36,1,68
Graduation,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,GER,52,1,16
2n Cycle,Married,85710.0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,IND,32,0,1062
Graduation,Divorced,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,SA,47,0,1112
Graduation,Single,58350.0,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,SP,50,1,1001
Graduation,Single,7500.0,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,SP,43,2,57
Master,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,SA,37,0,35
Basic,Married,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,CA,35,1,57
Basic,Married,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,GER,35,1,57
PhD,Divorced,41437.0,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,SP,64,2,32
Master,Together,49912.0,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,ME,72,1,874
Master,Together,49912.0,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,AUS,72,1,874
Graduation,Married,79823.0,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,AUS,62,1,1518
Graduation,Divorced,85683.0,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,SP,67,0,1789
PhD,Divorced,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,SP,56,2,20
PhD,Married,68397.0,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,SA,45,1,1416
PhD,Married,38175.0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,SP,37,1,153
Master,Single,46423.0,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,SP,49,2,92
Master,Single,46423.0,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,SP,49,2,92
Master,Together,30560.0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,SA,45,1,31
Master,Together,30560.0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,CA,45,1,31
Graduation,Single,60152.0,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,SP,42,1,943
Graduation,Together,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,SA,56,2,25
Graduation,Together,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,SP,56,2,25
Graduation,Together,70321.0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,SP,74,0,1376
Graduation,Married,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,SP,59,1,393
Basic,Married,24279.0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,SP,31,0,263
PhD,Married,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,SP,52,0,1670
PhD,Married,55424.0,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,SP,45,1,877
Graduation,Married,49094.0,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,SP,48,1,502
2n Cycle,Widow,59184.0,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,SP,60,1,1072
Graduation,Together,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,GER,34,0,1364
Master,Married,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,SP,61,1,326
2n Cycle,Single,31878.0,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,SP,44,1,70
Graduation,Single,83528.0,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,SP,29,0,1650
Graduation,Together,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,SP,42,0,1738
Master,Single,68092.0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,SA,43,0,1281
Master,Married,53761.0,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,AUS,49,2,325
Graduation,Married,52845.0,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,SP,48,1,936
Graduation,Married,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,SP,45,1,48
2n Cycle,Together,7500.0,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,IND,42,1,53
Graduation,Together,42586.0,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,SP,66,2,252
Graduation,Together,42586.0,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,SP,66,2,252
Basic,Together,9722.0,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,SP,48,1,103
PhD,Married,86836.0,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,SP,46,0,557
Graduation,Married,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,CA,49,1,24
PhD,Married,54549.0,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,SA,69,1,233
Graduation,Together,19444.0,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,SA,39,1,54
Master,Together,69245.0,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,SA,65,1,843
PhD,Divorced,72968.0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,SP,58,0,1958
Graduation,Married,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,SP,68,3,20
Graduation,Married,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,SA,31,0,1627
PhD,Single,82716.0,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,CA,77,0,1167
2n Cycle,Married,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,GER,40,1,66
PhD,Divorced,60554.0,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,SA,46,1,811
Graduation,Together,64090.0,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,SA,65,1,797
Graduation,Single,61559.0,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,SP,56,1,530
PhD,Widow,71670.0,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,SP,59,0,1766
PhD,Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,AUS,70,1,606
Graduation,Married,54386.0,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,SP,40,1,470
PhD,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,AUS,68,1,1099
PhD,Together,69702.0,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,SP,70,1,1039
Graduation,Single,47958.0,8,268,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,SA,69,1,407
Graduation,Married,67716.0,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,CA,61,1,1016
Graduation,Together,34600.0,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,SP,50,2,318
Graduation,Together,34600.0,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,SP,50,2,318
Graduation,Married,48752.0,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,SP,52,2,316
2n Cycle,Married,15716.0,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,SA,33,1,92
PhD,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,AUS,69,2,302
Graduation,Married,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,GER,44,0,1869
PhD,Single,45576.0,9,56,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,SP,76,0,145
PhD,Single,113734.0,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,SP,76,0,277
Graduation,Single,57100.0,9,158,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,SA,34,1,311
Graduation,Married,24434.0,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,IND,49,2,50
PhD,Married,37126.0,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,SP,50,1,72
Graduation,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,AUS,63,2,21
Graduation,Together,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,SP,44,1,49
Master,Widow,64866.0,9,508,5,21,7,5,10,4,7,3,7,5,0,1,0,0,0,CA,71,1,556
Master,Together,34176.0,9,11,2,7,4,2,2,1,1,0,3,3,0,0,0,0,0,CA,46,1,28
Master,Single,50014.0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,SP,53,1,396
Graduation,Married,92344.0,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,AUS,73,0,1899
Master,Divorced,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,SP,51,1,235
PhD,Divorced,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,SP,58,1,331
PhD,Married,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,SP,39,0,1919
PhD,Married,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,SA,39,0,1919
Master,Single,39763.0,9,80,1,60,4,6,16,2,5,1,2,9,0,0,0,0,0,SP,50,1,167
PhD,Divorced,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,CA,46,0,1293
Graduation,Single,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,GER,56,2,654
Graduation,Married,65275.0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,SP,77,0,746
Graduation,Married,36443.0,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,SP,60,2,138
Master,Together,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,SA,69,2,275
Graduation,Together,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,GER,56,0,692
Graduation,Married,65148.0,9,460,35,422,33,12,153,2,6,6,7,4,0,0,0,0,0,CA,63,1,1115
Graduation,Divorced,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,SP,66,1,365
PhD,Together,32583.0,10,5,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,SP,60,2,9
Master,Single,16653.0,10,5,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,SP,42,1,69
2n Cycle,Together,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,SP,50,2,63
Graduation,Married,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,SP,53,2,182
2n Cycle,Married,43050.0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,SP,48,1,76
Graduation,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,CA,52,0,725
Basic,Married,17256.0,10,6,4,14,8,8,22,2,2,1,2,8,1,0,0,0,0,US,29,1,62
Graduation,Single,86429.0,10,464,28,873,29,18,37,0,7,4,7,2,0,0,0,1,0,SA,60,0,1449
PhD,Married,33569.0,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,SP,38,1,63
2n Cycle,Together,25130.0,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,CA,41,1,50
